ID	Date pour le tri	Date pour l'affichage	Single	Vidéo	Image du single	Période	Commentaire si besoin	id	début (inclusif)	fin (inclusif)	périodes	texte	image (TEMPORAIRE)	où ça en est ?	Texte	Label
id	date	display_date	single_name	single_url	single_image	period	comment	id	start_date	end_date	period	text	image	status	text	value
1	02/12/1966	02/12/1966	Rubber Band	https://youtu.be/mzED7BYOrdQ	http://jilstardust.free.fr/Bowie/Covers/Singles/RubberBand.jpg	Les débuts		1	08/01/1947	01/12/1966	Avant Bowie	David Robert Jones est né le 8 janvier 1947 à Londres. Ado, il se décrète un devenir de pop star et joue dans d’innombrables groupes : The King Bees, The Buzz, Manish Boys, The Lower Third ou encore The Riot Squad. Le jeune homme flâne autour des scènes de concerts, fraie avec les mods sans s’y retrouver, change de look presque chaque jour de la décennie. Il ne deviendra Bowie qu'en septembre 1965.	https://www.liberation.fr/apps/uploads/bowie/01.jpg	ok	Pour les débuts j'ai commencé à partir du moment où il sort des singles sous le nom David Bowie dans le cadre de son premier album. J'ai évacué tout ce qu'il y avait avant.	Sous quel «Ziggy» suis-je né&nbsp;?
2	14/04/1967	14/04/1967	The Laughing Gnome	https://youtu.be/DAnVNXglw9I	https://upload.wikimedia.org/wikipedia/en/9/95/Bowiegnome.jpg	Les débuts		2	02/12/1966	14/07/1967	Les débuts	Le premier album signé David Bowie sort en 1967. Ses penchants pour le théâtre, le cabaret, le mime, sa passion minoritaire pour le Velvet Underground, Frank Zappa et Jacques Brel, ou encore sa disposition à partir en retraite dans un monastère bouddhiste en Ecosse n’infusent pour l’heure qu’à la marge sa musique et son régime d’apparition. Des accents de music-hall colorent malgré tout quelques-unes de ses chansons, au caractère aussi candide et labile que pouvait l’être la variété de l’époque.	https://www.liberation.fr/apps/uploads/bowie/02.jpg	ok	J'ai évacué quelques singles sortis dans un seul pays (comme Crystal Japan, uniquement sorti au Japon le même jour qu'un autre single)	Sur quel Bowie ai-je rencontré mon amour&nbsp;?
3	14/07/1967	14/07/1967	Love You till Tuesday	https://youtu.be/_Ix2uvldEwU	https://upload.wikimedia.org/wikipedia/en/7/70/Bowieloveyoutill.jpg	Les débuts		3	11/07/1969	12/06/1970	Premiers succès	Le premier succès arrive en 1969 : le single «Space Oddity» est satellisé dans les charts - après une première sortie dans l’indifférence - par la BBC qui l’utilise en bande-son des premiers pas de Neil Armstrong sur la Lune. Le beau disque encore un peu sage qui l’accompagne connaît, lui, étrangement l’échec.	https://www.liberation.fr/apps/uploads/bowie/03.jpg	ok	J'ai pris en jour de sortie le jour de la première sortie (souvent aux Etats-Unis ou en Angleterre)	Quel single passait à la radio quand je révisais mon bac&nbsp;?
4	11/07/1969	11/07/1969	Space Oddity	https://youtu.be/iYYRH4apXDo	https://m.media-amazon.com/images/I/71CZQKUD-NL._SS500_.jpg	Les premiers succès		4	15/01/1971	31/10/1974	Ziggy et autres créatures glam	Avec Ziggy, Bowie échafaude son concept (fumeux et magnifique) de science-fiction naïve, des tenues insensées des personnages d’«Orange mécanique» et du créateur Kansai Yamamoto, de lambeaux d’expressionnisme et de théorie queer avant la lettre. Une génération entière se teint la mèche en rouge dans le sillon de Bowie, se peint les yeux d’étoiles, s’identifie à la généalogie extraterrestre qu’il s’invente comme parure absolue et revendication d’un être au monde en rupture avec la norme.	https://www.liberation.fr/apps/uploads/bowie/04.jpg	ok	Pour les singles où je n'ai que les mois, je propose de faire comme si le single était sorti le 1er jour du mois	Quel tube bowiesque a accompagné la naissance de ma fille&nbsp;?
5	06/03/1970	06/03/1970	The Prettiest Star	https://youtu.be/8SWb0ShWDQg	https://upload.wikimedia.org/wikipedia/en/7/78/Bowie_ThePrettiestStar.jpg	Les premiers succès		5	21/02/1975	09/07/1976	Amérique et soul plastique	Nouvellement installé à Los Angeles, Bowie se met à la soul («Young Americans») et tourne «The Man Who Fell to Earth». De cette période, il ne conservera plus tard que le souvenir flou d’une épopée de conducteur en train ivre, lancé à grande vitesse avec la cocaïne pour principal carburant, sans percevoir grand-chose de chacune de ses stations.	https://www.liberation.fr/apps/uploads/bowie/05.jpg	ok		Que chantait Bowie quand j'ai raté mon permis pour la deuxième fois&nbsp;?
6	12/06/1970	12/06/1970	Memory of a Free Festival	https://youtu.be/SVF8V4VKSX8	https://upload.wikimedia.org/wikipedia/en/4/4e/Bowiememory2.jpg	Les premiers succès		6	11/02/1977	20/08/1979	La période berlinoise	En 1976, pour se sortir de l’autodestruction à la cocaïne, Bowie fait un retour européen. Il installe sa famille en Suisse mais passe le plus clair de son temps à traîner avec Iggy Pop à Berlin, s’alimentant, selon ce dernier, essentiellement de saucisses nappées de poudre blanche. Les trois disques de la période ressortent d'une proto-new wave, Bowie imposant de longues plages d’instrumentaux planants qui mettront la maison de disques RCA en panique.	https://www.liberation.fr/apps/uploads/bowie/06.jpg	ok		Il en était où, Ziggy, quand j'ai déménagé à Rennes&nbsp;?
7	15/01/1971	15/01/1971	Holy Holy	https://youtu.be/Kt6LhmQoH_E	https://upload.wikimedia.org/wikipedia/en/8/88/Bowieholy.jpg	Ziggy Stardust		7	15/02/1980	01/06/1983	Ashes to cash machine	Au début des années 80, Bowie est partout, bronzé, le cheveu blond oxygéné, il assure ne plus vouloir se cacher derrière un personnage, converti à une sorte de musique directe, qui fait bouger le popotin et met les neurones au repos. Les puristes se bouchent le nez, les fans regardent cette métamorphose de la plus inadaptée des stars en puncher de stade comme un trait de génie.	https://www.liberation.fr/apps/uploads/bowie/07.jpg	ok		
8	07/05/1971	07/05/1971	Moonage Daydream	https://youtu.be/RPUAldgS7Sg	https://upload.wikimedia.org/wikipedia/commons/8/82/Moonage_Daydream_by_The_Arnold_Corns_UK_vinyl_1971.jpg	Ziggy Stardust		8	01/11/1983	30/11/1991	L'inspiration perdue	A 40 ans, Bowie sort «Never Let Me Down», considéré comme son pire album. «Horrible. Un échec artistique. Je n’aurais jamais dû rentrer en studio pour enregistrer ça», dira-t-il. La suite est pourtant aussi mauvaise : avec son groupe Tin Machine, il tente un retour aux sources du rock qui ne laissera que (très) peu de bons souvenirs.	https://www.liberation.fr/apps/uploads/bowie/08.jpg	ok		
9	07/01/1972	07/01/1972	Changes	https://youtu.be/BPPSu0vaNWA	https://upload.wikimedia.org/wikipedia/en/e/e8/Bowiechanges2.jpg	Ziggy Stardust		9	10/09/1992	14/10/1997	Le miraculé électronique	Après «The Buddha of Suburbia», musique d'une série pour la BBC, c'est en s'injectant les sonorités électroniques que Bowie se refait une santé musicale. Il retrouve subtilité et expérimentation (et Brian Eno) avec «1. Outside» (1995) puis publie l'énergique «Earthling» en 1997. Il est marié depuis avril 1992 avec la top model Iman.	https://www.liberation.fr/apps/uploads/bowie/09.jpg	ok		
10	14/04/1972	14/04/1972	Starman	https://youtu.be/sI66hcu9fIs	http://jilstardust.free.fr/Bowie/Covers/Singles/Starman.jpg	Ziggy Stardust		10	01/12/1997	30/09/2003	Le quinqua apaisé	«A 50 ans, je n’ai plus peur ni de la vieillesse ni de la mort. La dernière ligne droite ne m’effraie pas, je la regarde en face», assume Bowie dans une interview en 1996. L'homme endosse désormais l'habit du dandy à la fois revenu de tout et toujours à la pointe, mari fidèle et jeune papa (sa fille Alexandria nait en 2000) ayant tourné le dos aux excès.	https://www.liberation.fr/apps/uploads/bowie/10.jpg	ok		
11	11/08/1972	11/08/1972	Hang on to Yourself	https://youtu.be/7XtF5jITGh4	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Hang_On_to_Yourself_by_Arnold_Corns_UK_vinyl_1971.png/600px-Hang_On_to_Yourself_by_Arnold_Corns_UK_vinyl_1971.png	Ziggy Stardust		11	01/10/2003	07/01/2013	Le silence	En 2004, Bowie interrompt la tournée A Reality Tour pour des raisons de santé. La pause se mue en silence qui durera dix ans. Une semi-retraite toutefois émaillée de collaborations (avec TV on the Radio, Scarlett Johansson...) et d'apparitions sur scène (avec Arcade Fire ou David Gilmour).	https://www.liberation.fr/apps/uploads/bowie/11.jpg	ok		
12	01/09/1972	01/09/1972	John, I'm Only Dancing	https://youtu.be/lmVVyhpuFRc	https://upload.wikimedia.org/wikipedia/en/b/bb/Bowie_JohnDancing1.jpg	Ziggy Stardust		12	08/01/2013	07/01/2017	La résurrection avant la mort	Pour le 66e anniversaire, Bowie s'offre un retour surprise : le 8 janvier 2013 l'homme publie un single, le premier depuis dix ans, et annonce un nouvel album, The Next Day. Mais toujours pas de scène ni même d'interview. Trois ans après sort le beau et crépusculaire Blackstar, dernier épisode de la discographie de Bowie. Il meurt deux jours après la sortie de l'album, le 10 janvier 2016.	https://www.liberation.fr/apps/uploads/bowie/12.jpg	ok		
13	24/11/1972	24/11/1972	The Jean Genie	https://youtu.be/kMYg_Ra4cr8	https://upload.wikimedia.org/wikipedia/en/6/6b/JeanGenie7.jpg	Ziggy Stardust										
14	06/04/1973	06/04/1973	Drive-In Saturday	https://youtu.be/WABWNOEwC9A	https://upload.wikimedia.org/wikipedia/en/d/d9/Bowie_DriveInSaturday.jpg	Ziggy Stardust										
15	13/04/1973	13/04/1973	Time	https://youtu.be/fEWhOSmrj6Y	https://upload.wikimedia.org/wikipedia/en/f/f7/Bowie_timesingle.jpg	Ziggy Stardust										
16	22/06/1973	22/06/1973	Life on Mars ?	https://youtu.be/AZKcl4-tcuo	https://upload.wikimedia.org/wikipedia/en/b/bd/Bowie_LifeOnMars.jpg	Ziggy Stardust										
17	01/06/1973	06/1973	Let's Spend the Night Together	https://youtu.be/tXo7wMwDJA8	http://jilstardust.free.fr/Bowie/Covers/Singles/LetsSpendTheNightTogether73Bresil.jpg	Ziggy Stardust	je n'ai pas la date de sortie									
18	28/09/1973	28/09/1973	Sorrow	https://youtu.be/RmQ2OJgzkMg	http://jilstardust.free.fr/Bowie/Covers/Singles/Sorrow73Allemagne.jpg	Ziggy Stardust										
19	15/02/1974	15/02/1974	Rebel Rebel	https://youtu.be/Vy-rvsHsi1o	http://jilstardust.free.fr/Bowie/Covers/Singles/RebelRebel74France.jpg	Ziggy Stardust										
20	11/04/1974	11/04/1974	Rock'n'Roll Suicide	https://youtu.be/CD1nzOeS6U0	http://jilstardust.free.fr/Bowie/Covers/Singles/RockNRollSuicide74France.jpg	Ziggy Stardust										
21	14/06/1974	14/06/1974	Diamond Dogs	https://youtu.be/OTIsnYPG4lU	http://jilstardust.free.fr/Bowie/Covers/Singles/DiamondDogs74Allemagne.jpg	Ziggy Stardust										
22	01/07/1974	07/1974	1984	https://youtu.be/x2xfpMMQIJ8	http://jilstardust.free.fr/Bowie/Covers/Singles/1984Japon.jpg	Ziggy Stardust	sortie confidentielle aux USA et au Japon et pas de date officielle de sortie									
23	13/09/1974	13/09/1974	Knock on Wood (live)	https://youtu.be/guJ9awwEKeg	http://jilstardust.free.fr/Bowie/Covers/Singles/KnockOnWood74France.jpg	Ziggy Stardust										
24	01/10/1974	10/1974	Rock'n'Roll with Me (live)	https://youtu.be/PCyjILmpRJw	https://upload.wikimedia.org/wikipedia/en/0/06/Rock_%27n%27_Roll_with_Me_single_cover.jpg	Ziggy Stardust	pas de date précise de sortie									
25	21/02/1975	21/02/1975	Young Americans	https://youtu.be/ydLcs4VrjZQ	http://jilstardust.free.fr/Bowie/Covers/Singles/YoungAmericans83RoyaumeUni.jpg	L'Amérique										
26	25/07/1975	25/07/1975	Fame	https://youtu.be/Ypgq0qdgVZA	http://jilstardust.free.fr/Bowie/Covers/Singles/Fame75Espagne.jpg	L'Amérique										
27	21/11/1975	21/11/1975	Golden Years	https://youtu.be/A8u8mODGOlg	https://upload.wikimedia.org/wikipedia/en/b/b0/Bowie_GoldenYears.jpg	L'Amérique										
28	23/01/1976	23/01/1976	Station to Station	https://youtu.be/ZpIhsGg2SJ0	https://upload.wikimedia.org/wikipedia/en/a/a6/David_Bowie_-_Station_to_Station_song_cover_art.jpg	L'Amérique										
29	30/04/1976	30/04/1976	TVC 15	https://youtu.be/Dh8RDktOdnc	https://upload.wikimedia.org/wikipedia/en/7/7a/Bowie_TVC15.jpg	L'Amérique										
30	09/07/1976	09/07/1976	Stay	https://youtu.be/oOhjZJyNOx4	https://upload.wikimedia.org/wikipedia/en/7/70/Bowiestay.jpg	L'Amérique										
31	11/02/1977	11/02/1977	Sound and Vision	https://youtu.be/YR_3YaaJOzo	https://upload.wikimedia.org/wikipedia/en/f/f9/Bowie_SoundAndVision.jpg	La période berlinoise										
32	17/06/1977	17/06/1977	Be My Wife	https://youtu.be/yjCM_X3xpRM	https://upload.wikimedia.org/wikipedia/en/5/56/Bowie_BeMyWife.jpg	La période berlinoise										
33	23/09/1977	23/09/1977	"Heroes"	https://youtu.be/lXgkuM2NhYI	http://jilstardust.free.fr/Bowie/Covers/Singles/Heroes.jpg	La période berlinoise										
34	06/01/1978	06/01/1978	Beauty and the Beast	https://youtu.be/ZJNL8vVGlAM	http://jilstardust.free.fr/Bowie/Covers/Singles/BeautyAndTheBeast.jpg	La période berlinoise										
35	17/11/1978	17/11/1978	Breaking Glass	https://youtu.be/RI0o7y1wbzE	http://jilstardust.free.fr/Bowie/Covers/Singles/BreakingGlass.jpg	La période berlinoise										
36	27/04/1979	27/04/1979	Boys Keep Swinging	https://youtu.be/2KcOs70dZAw	http://jilstardust.free.fr/Bowie/Covers/Singles/BoysKeepSwinging.jpg	La période berlinoise										
37	29/06/1979	29/06/1979	DJ	https://youtu.be/MRRmU_pOXnk	http://jilstardust.free.fr/Bowie/Covers/Singles/DJ.jpg	La période berlinoise										
38	20/08/1979	20/08/1979	Look Back in Anger	https://youtu.be/eszZfu_1JM0	https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Look_Back_in_Anger_label.jpg/220px-Look_Back_in_Anger_label.jpg	La période berlinoise										
39	15/02/1980	15/02/1980	Alabama Song	https://youtu.be/7QVeqBVOc7A	http://jilstardust.free.fr/Bowie/Covers/Singles/AlabamaSong.jpg	Roi du pétrole										
40	08/09/1980	08/09/1980	Ashes to Ashes	https://youtu.be/HyMm4rJemtI	https://upload.wikimedia.org/wikipedia/en/6/67/AshesToAshes3.jpg	Roi du pétrole										
41	24/10/1980	24/10/1980	Fashion	https://youtu.be/F-z6u5hFgPk	http://jilstardust.free.fr/Bowie/Covers/Singles/Fashion.jpg	Roi du pétrole										
42	02/01/1981	02/01/1981	Scary Monsters (And Super Creeps)	https://youtu.be/HkMn_n5KzCc	https://upload.wikimedia.org/wikipedia/en/a/aa/Bowie_ScaryMonstersSingle.jpg	Roi du pétrole										
43	01/03/1981	01/03/1981	Up the Hill Backwards	https://youtu.be/UqOtu1ndXuE	http://jilstardust.free.fr/Bowie/Covers/Singles/UpTheHillBackwards.jpg	Roi du pétrole	pas le jour exact de sortie									
44	26/10/1981	26/10/1981	Under Pressure (avec Queen)	https://youtu.be/a01QQZyl-_I	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Queen_%26_David_Bowie_-_Under_Pressure.jpeg/1024px-Queen_%26_David_Bowie_-_Under_Pressure.jpeg	Roi du pétrole										
45	01/11/1981	11/1981	Wild is the Wind	https://youtu.be/YsqlXkkEKxI	https://upload.wikimedia.org/wikipedia/en/3/30/Bowie_WildIsTheWind.jpg	Roi du pétrole	pas le jour exact de sortie									
46	01/03/1982	03/1982	Cat People (Putting Out Fire)	https://youtu.be/Z9GbGO7CKdQ	https://upload.wikimedia.org/wikipedia/en/e/ed/Bowie_CatPeople.jpg	Roi du pétrole										
47	27/11/1982	27/11/1982	Peace on Earth / Little Drummer Boy	https://youtu.be/n9kfdEyV3RQ	http://jilstardust.free.fr/Bowie/Covers/Singles/PeaceOnEarth.jpg	Roi du pétrole										
48	14/03/1983	14/03/1983	Let's Dance	https://youtu.be/VbD_kBJc_gI	https://upload.wikimedia.org/wikipedia/en/4/41/LetsDance.jpg	Roi du pétrole										
49	31/05/1983	31/05/1983	China Girl	https://youtu.be/_YC3sTbAPcU	https://upload.wikimedia.org/wikipedia/en/7/79/Bowie_ChinaGirl.jpg	Roi du pétrole										
50	01/09/1981	09/1983	Modern Love	https://youtu.be/HivQqTtiHVw	https://upload.wikimedia.org/wikipedia/en/2/2b/Bowie_ModernLove.jpg	Roi du pétrole	pas le jour exact de sortie									
51	01/11/1983	11/1983	Without You	https://youtu.be/fz9tsTrjGB8	https://upload.wikimedia.org/wikipedia/en/0/0d/Bowie_withoutyou.jpg	Roi du pétrole										
52	01/09/1984	01/09/1984	Blue Jean	https://youtu.be/NZnryZ5rDbs	https://upload.wikimedia.org/wikipedia/en/4/4e/Bowie_Blue_Jean.jpg	Roi du pétrole										
53	01/11/1984	11/1984	Tonight (avec Tina Turner)	https://youtu.be/p4WG_y7owmM	https://upload.wikimedia.org/wikipedia/en/8/83/David_bowie_-_tonight_12_inch_single_cover.jpg	Roi du pétrole	pas le jour exact de sortie									
54	01/02/1985	02/1985	This is Not America (avec Pat Metheny Group)	https://youtu.be/bQOywVlakgM	http://jilstardust.free.fr/Bowie/Covers/Singles/ThisIsNotAmerica.jpg	Roi du pétrole	pas le jour exact de sortie									
55	01/05/1985	05/1985	Loving the Alien	https://youtu.be/ns2hmyP0mGY	https://upload.wikimedia.org/wikipedia/en/e/e3/Bowie_LovingTheAlien.jpg	Roi du pétrole										
56	12/08/1985	12/08/1985	Dancing in the Street (avec Mick Jagger)	https://youtu.be/HasaQvHCv4w	https://upload.wikimedia.org/wikipedia/en/3/33/BowieJagger_DancingInTheStreet.jpg	Roi du pétrole										
57	03/03/1986	03/03/1986	Absolute Beginners	https://youtu.be/iCJLOXqnT2I	https://upload.wikimedia.org/wikipedia/en/b/b5/Bowie_AbsoluteBeginners.jpg	Roi du pétrole										
58	09/06/1986	09/06/1986	Underground	https://youtu.be/Qga12-bAS4A	https://upload.wikimedia.org/wikipedia/en/2/21/Bowie_Underground.jpg	Roi du pétrole										
59	27/10/1986	27/10/1986	When the Wind Blows	https://youtu.be/xol-TVVUQKQ	https://upload.wikimedia.org/wikipedia/en/5/5b/Bowie_WhenTheWindBlows.jpg	Roi du pétrole										
60	01/01/1987	01/1987	Magic Dance	https://youtu.be/E-6vBZJ84m0	https://upload.wikimedia.org/wikipedia/en/f/f2/Bowie_MagicDance.jpg	Roi du pétrole										
61	23/03/1987	23/03/1987	Day-In Day-Out	https://youtu.be/eK4MyREDv1M	https://upload.wikimedia.org/wikipedia/en/0/05/Bowie_DayInDayOut.jpg	La période honteuse										
62	01/06/1987	06/1987	Time Will Crawl	https://youtu.be/YHU28e8hZkA	https://upload.wikimedia.org/wikipedia/en/d/d6/Bowie_TimeWillCrawl.jpg	La période honteuse										
